Country,Income_Level,Prompt_Type,LLM,Citation_ID,Author,Title,Year,Journal,DOI
United States,High Income,Behavior,Gemini-Flash-Lite,United States_Behavior_11,"Choo, C. W.",Information management for the intelligent organization: The art of scanning the environment,2006,Information Today,10.1007/978-3-540-28260-8_2
United States,High Income,Behavior,Gemini-Flash-Lite,United States_Behavior_12,"Nardi, B. A., & O'Day, V.",Information ecologies: Using technology with heart,1999,MIT Press,10.7551/mitpress/4279.001.0001
United Kingdom,High Income,Seeking,Gemini-Flash-Lite,United Kingdom_Seeking_1,"Case, D.O.",Looking for information: A survey of research on information seeking behavior,2002,Academic Press,10.1016/B978-012163071-6/50003-8
United Kingdom,High Income,Seeking,Gemini-Flash-Lite,United Kingdom_Seeking_2,"Bates, M.J.",Information search tactics,1979,Information Processing & Management,10.1016/0306-4573(79)90006-0
United Kingdom,High Income,Seeking,Gemini-Flash-Lite,United Kingdom_Seeking_3,"Kuhlthau, C.C.",Information search process: A summary of research and implications for school library media programs,1989,School Library Media Quarterly,10.1016/j.chb.2009.03.004
United Kingdom,High Income,Seeking,Gemini-Flash-Lite,United Kingdom_Seeking_4,"Spink, A., & Cole, C.",Human information behavior,2006,Information Processing & Management,10.1016/j.ipm.2005.09.003
United Kingdom,High Income,Seeking,Gemini-Flash-Lite,United Kingdom_Seeking_5,"Chatman, E.A.",The information world of retired women,1996,The Library Quarterly,10.1086/602709
United Kingdom,High Income,Seeking,Gemini-Flash-Lite,United Kingdom_Seeking_6,"Taylor, R.S.",Question-negotiation and information seeking in libraries,1968,College & Research Libraries,10.5860/crl.29.3.178
United Kingdom,High Income,Seeking,Gemini-Flash-Lite,United Kingdom_Seeking_7,"Vakkari, P.",Information seeking in context: A review of research on information seeking in work settings,2003,Information Research,10.4324/9781003069674-10
United Kingdom,High Income,Seeking,Gemini-Flash-Lite,United Kingdom_Seeking_8,"Ingwersen, P.",Information retrieval interaction,1992,Taylor Graham,10.1007/978-3-642-77993-6_1
United Kingdom,High Income,Seeking,Gemini-Flash-Lite,United Kingdom_Seeking_9,"Marchionini, G.",Information seeking in electronic environments,1995,Cambridge University Press,10.1017/CBO9780511558045
United Kingdom,High Income,Seeking,Gemini-Flash-Lite,United Kingdom_Seeking_10,"Hert, C.A.",Information behavior of scientists and engineers,2002,Annual Review of Information Science and Technology,10.1002/aris.1450360106
United Kingdom,High Income,Seeking,Gemini-Flash-Lite,United Kingdom_Seeking_11,"Fisher, K.E., Erdelez, S., & McKechnie, L.",Theories of information behavior,2005,Information Today,10.1007/978-3-642-00875-6_1
United Kingdom,High Income,Seeking,Gemini-Flash-Lite,United Kingdom_Seeking_12,"Dervin, B.",Sense-making as a core construct in information science: Developments over time,2003,Information Theory,10.1007/978-3-642-56078-6_1
United Kingdom,High Income,Seeking,Gemini-Flash-Lite,United Kingdom_Seeking_13,"Sonnenwald, D.H.",Communication approaches to information seeking and use,1996,Annual Review of Information Science and Technology,10.1002/aris.1450310105
United Kingdom,High Income,Use,Gemini-Flash-Lite,United Kingdom_Use_1,"Van Dijck, J.",The culture of connectivity: A critical history of social media,2013,Oxford University Press,10.1093/acprof:oso/9780199970773.001.0001
United Kingdom,High Income,Use,Gemini-Flash-Lite,United Kingdom_Use_2,"Couldry, N.","Media, voice, and civic renewal: Reflections on the public sphere",2006,"Media, Culture & Society",10.1177/0163443706061766
United Kingdom,High Income,Use,Gemini-Flash-Lite,United Kingdom_Use_3,"Coleman, S.",The Internet and the public sphere,2005,"Media, Culture & Society",10.1177/0163443705050893
United Kingdom,High Income,Use,Gemini-Flash-Lite,United Kingdom_Use_4,"Chadwick, A.",The hybrid media system: Politics and power,2017,Oxford University Press,10.1093/oso/9780190262553.001.0001
United Kingdom,High Income,Use,Gemini-Flash-Lite,United Kingdom_Use_5,"Dahlgren, P.","The Internet, public spheres and political communication: Dispersion and deliberation",2001,Political Communication,10.1080/10584600152703877
United Kingdom,High Income,Use,Gemini-Flash-Lite,United Kingdom_Use_6,"Curran, J.","Power without responsibility: The press, broadcasting and the Internet in Britain",2010,Routledge,10.4324/9780203850394
United Kingdom,High Income,Use,Gemini-Flash-Lite,United Kingdom_Use_7,"Gripsrud, J.",The dynamics of the public sphere: A critical approach,2002,Norsk medietidsskrift,10.18261/issn1891-1667-2002-02-03-04-03
United Kingdom,High Income,Use,Gemini-Flash-Lite,United Kingdom_Use_8,"Hallin, D. C. & Mancini, P.",Comparing media systems: Three models of media and politics,2004,Cambridge University Press,10.1017/CBO9780511790853
United Kingdom,High Income,Use,Gemini-Flash-Lite,United Kingdom_Use_9,"Norris, P.","Digital divide: Civic engagement, information poverty, and the Internet worldwide",2001,Cambridge University Press,10.1017/CBO9780511489861
United Kingdom,High Income,Use,Gemini-Flash-Lite,United Kingdom_Use_10,"Schudson, M.",The sociology of news,2003,W. W. Norton & Company,10.4324/9780203981889
United Kingdom,High Income,Use,Gemini-Flash-Lite,United Kingdom_Use_11,"Thompson, J. B.",The media and modernity: A social theory of the media,1995,Stanford University Press,10.1017/CBO9780511557739
United Kingdom,High Income,Use,Gemini-Flash-Lite,United Kingdom_Use_12,"Castells, M.",The rise of the network society,2010,Wiley-Blackwell,10.1002/9781444319514
United Kingdom,High Income,Use,Gemini-Flash-Lite,United Kingdom_Use_13,"Fenton, N.",The role of the media in the construction of public opinion,2010,Routledge,10.4324/9780203850394
United Kingdom,High Income,Use,Gemini-Flash-Lite,United Kingdom_Use_14,"Wahl-Jorgensen, K.","Emotions, media and politics",2018,Polity Press,10.1002/9781119420727
United Kingdom,High Income,Sharing,Gemini-Flash-Lite,United Kingdom_Sharing_1,"Bimber, B.",The Internet and Citizen Empowerment: Democratic Participation after the Internet,2003,Public Administration Review,10.1111/1540-627X.00260
United Kingdom,High Income,Sharing,Gemini-Flash-Lite,United Kingdom_Sharing_2,"Coleman, S.",Connecting Parliament to the Public via the Internet: The UK Experience,2000,Parliamentary Affairs,10.1093/pa/53.2.230
United Kingdom,High Income,Sharing,Gemini-Flash-Lite,United Kingdom_Sharing_3,"Gibson, R. & Ward, S.","U.K. Political Parties and the Internet: 'Outreach, Mobilisation or Reinforcement?",2000,Political Studies,10.1111/1467-9248.00251
United Kingdom,High Income,Sharing,Gemini-Flash-Lite,United Kingdom_Sharing_4,"Loader, B. D. & Thomas, F. G.","The Internet, Citizenship and Political Participation: Exploring the Prospects",2000,"Information, Communication & Society",10.1080/13691180050002035
United Kingdom,High Income,Sharing,Gemini-Flash-Lite,United Kingdom_Sharing_5,"Margolis, M., Resnick, D. & Turow, J.",The Internet and Civic Engagement: Toward a Theory of the Transformation of Political Participation,2000,Political Communication,10.1080/10584600050118277
United Kingdom,High Income,Sharing,Gemini-Flash-Lite,United Kingdom_Sharing_6,"Norris, P.","Digital Divide: Civic Engagement, Information Poverty, and the Internet Worldwide",2001,Cambridge University Press,10.1017/CBO9780511489961
United Kingdom,High Income,Sharing,Gemini-Flash-Lite,United Kingdom_Sharing_7,"O'Hara, K.",The Internet and the Public Sphere: A Critical Analysis of the UK Experience,2002,New Media & Society,10.1177/14614440222226355
United Kingdom,High Income,Sharing,Gemini-Flash-Lite,United Kingdom_Sharing_8,"Chadwick, A.",Bringing E-Democracy Back In: Why It Matters for Political Science,2003,Political Communication,10.1080/10584600390248124
United Kingdom,High Income,Sharing,Gemini-Flash-Lite,United Kingdom_Sharing_9,"Jackson, N.",The Internet and Political Participation in the UK: A Case Study of the 2001 General Election,2003,"Information, Communication & Society",10.1080/1369118032000078395
United Kingdom,High Income,Sharing,Gemini-Flash-Lite,United Kingdom_Sharing_10,"Browning, S.",The UK Government's Use of Social Media: A Case Study of the Department for Work and Pensions,2012,Public Policy and Administration,10.1177/0952076711429685
United Kingdom,High Income,Sharing,Gemini-Flash-Lite,United Kingdom_Sharing_11,"Hague, B. & Loader, B. D.",Digital Democracy: Discourse and Decision Making in the Information Age,1999,Routledge,10.4324/9780203204965
United Kingdom,High Income,Sharing,Gemini-Flash-Lite,United Kingdom_Sharing_12,"Jackson, N. A.",The Internet and Political Participation in the UK: A Case Study of the 2001 General Election,2003,"Information, Communication & Society",10.1080/1369118032000078395
United Kingdom,High Income,Sharing,Gemini-Flash-Lite,United Kingdom_Sharing_13,"Lilleker, D. G. & Jackson, N. A.",The UK General Election 2005: The Internet and the Campaign,2006,Parliamentary Affairs,10.1093/pa/gsl002
United Kingdom,High Income,Sharing,Gemini-Flash-Lite,United Kingdom_Sharing_14,"Watt, P.",The UK Government's Use of Social Media: A Case Study of the Department for Work and Pensions,2012,Public Policy and Administration,10.1177/0952076711429685
United Kingdom,High Income,Needs,Gemini-Flash-Lite,United Kingdom_Needs_1,"Taylor, R.S.",Question-negotiation and information seeking in libraries,1968,College & Research Libraries,10.5860/crl.29.3.178
United Kingdom,High Income,Needs,Gemini-Flash-Lite,United Kingdom_Needs_2,"Chatman, E.A.",The information world of retired women,1992,The Library Quarterly,10.1086/602206
United Kingdom,High Income,Needs,Gemini-Flash-Lite,United Kingdom_Needs_3,"Dervin, B.",From the micro to the macro: Integrating social and individual perspectives on information use,1999,Information Processing & Management,10.1016/S0306-4573(99)00033-X
United Kingdom,High Income,Needs,Gemini-Flash-Lite,United Kingdom_Needs_4,"Case, D.O.","Looking for information: A survey of research on information seeking, needs, and behavior",2012,Emerald Publishing Limited,10.1108/S0276-3977(2012)0000034005
United Kingdom,High Income,Needs,Gemini-Flash-Lite,United Kingdom_Needs_5,"Bates, M.J.",Information search tactics,1979,Information Processing & Management,10.1016/0306-4573(79)90006-0
United Kingdom,High Income,Needs,Gemini-Flash-Lite,United Kingdom_Needs_6,"Kuhlthau, C.C.",Seeking meaning: A process approach to library and information services,1993,Greenwood Press,10.1007/978-1-4615-2945-8
United Kingdom,High Income,Needs,Gemini-Flash-Lite,United Kingdom_Needs_7,"Ingwersen, P.",Information retrieval interaction,1992,Taylor Graham,10.1007/978-1-4615-2945-8
United Kingdom,High Income,Needs,Gemini-Flash-Lite,United Kingdom_Needs_8,"Hert, C.A.",Information needs and information seeking in the workplace,2002,Annual Review of Information Science and Technology,10.1002/aris.1450360106
United Kingdom,High Income,Needs,Gemini-Flash-Lite,United Kingdom_Needs_9,"Fisher, K.E., Erdelez, S., & McKechnie, L.",Theories of information behavior,2005,Information Today,10.1007/978-3-319-60085-9_2
United Kingdom,High Income,Needs,Gemini-Flash-Lite,United Kingdom_Needs_10,"Sonnenwald, D.H.",Communication approaches to information seeking and use,1996,Annual Review of Information Science and Technology,10.1002/aris.1450310105
United Kingdom,High Income,Needs,Gemini-Flash-Lite,United Kingdom_Needs_11,"Nilan, M.S. & Stahlschmidt, S.",Information needs and information seeking in the context of everyday life,1993,Information Processing & Management,10.1016/0306-4573(93)90005-H
United Kingdom,High Income,Needs,Gemini-Flash-Lite,United Kingdom_Needs_12,"Johnson, C.",Information behaviour in the digital age: An interdisciplinary perspective,2010,Chandos Publishing,10.1016/B978-1-84334-546-9.00002-2
United Kingdom,High Income,Behavior,Gemini-Flash-Lite,United Kingdom_Behavior_1,"Case, D.O.","Looking for information: A survey of research on information seeking, needs, and behavior",2002,Academic Press,10.1016/B978-012163071-6/50003-5
United Kingdom,High Income,Behavior,Gemini-Flash-Lite,United Kingdom_Behavior_2,"Chatman, E.A.",The information world of low-income women,1992,Library & Information Science Research,10.1016/0740-8188(92)90003-4
United Kingdom,High Income,Behavior,Gemini-Flash-Lite,United Kingdom_Behavior_3,"Fisher, K.E.; Erdelez, S.; McKechnie, L.",Theories of information behavior,2005,Information Today,10.1007/978-3-540-28206-9_2
United Kingdom,High Income,Behavior,Gemini-Flash-Lite,United Kingdom_Behavior_4,"Bates, M.J.",Information behavior,2005,Annual Review of Information Science and Technology,10.1002/aris.1450390105
United Kingdom,High Income,Behavior,Gemini-Flash-Lite,United Kingdom_Behavior_5,"Kuhlthau, C.C.",Seeking meaning: A process approach to library and information services,1993,Libraries Unlimited,10.4324/9781003059557-1
United Kingdom,High Income,Behavior,Gemini-Flash-Lite,United Kingdom_Behavior_6,"Spink, A.; Cole, C.",Human information behavior,2006,Information Today,10.1007/978-3-540-28206-9_1
United Kingdom,High Income,Behavior,Gemini-Flash-Lite,United Kingdom_Behavior_7,"Taylor, R.S.",Information use environments,1991,Progress in Communication Sciences,10.1016/S0163-6847(08)60004-8
United Kingdom,High Income,Behavior,Gemini-Flash-Lite,United Kingdom_Behavior_8,"Ingwersen, P.",Information retrieval interaction,1992,Taylor Graham,10.1007/978-3-642-77954-6_1
United Kingdom,High Income,Behavior,Gemini-Flash-Lite,United Kingdom_Behavior_9,"Vakkari, P.",Information seeking in context: A review of research on information seeking in work settings,2003,Information Research,10.4324/9781003059557-1
United Kingdom,High Income,Behavior,Gemini-Flash-Lite,United Kingdom_Behavior_10,"Hsieh-Yee, I.",Information needs and information seeking behavior of immigrants: A review of the literature,2001,Library & Information Science Research,10.1016/S0740-8188(01)00071-7
United Kingdom,High Income,Behavior,Gemini-Flash-Lite,United Kingdom_Behavior_11,"Sonnenwald, D.H.",Human-computer interaction and information retrieval,1996,Annual Review of Information Science and Technology,10.1002/aris.1450310106
United Kingdom,High Income,Behavior,Gemini-Flash-Lite,United Kingdom_Behavior_12,"Johnson, J.D.",Information seeking,2009,Oxford University Press,10.1093/oxfordhb/9780195370279.003.0002
United Kingdom,High Income,Behavior,Gemini-Flash-Lite,United Kingdom_Behavior_13,"Nardi, B.A.; Whittaker, S.; Bradner, E.",Interaction and outeraction: Instant messaging in action,2000,Computer Supported Cooperative Work (CSCW),10.1023/A:1008781525622
Germany,High Income,Seeking,Gemini-Flash-Lite,Germany_Seeking_1,"Kuhlthau, C. C.",Information search process: A summary of research and implications for instruction,1991,School Library Media Quarterly,10.1007/s10791-010-9146-z
Germany,High Income,Seeking,Gemini-Flash-Lite,Germany_Seeking_2,"Spink, A. & Cole, C.",Human information behavior: An overview,2006,Information Processing & Management,10.1016/j.ipm.2005.06.006
Germany,High Income,Seeking,Gemini-Flash-Lite,Germany_Seeking_3,"Bates, M. J.",Information search tactics,1979,Information Processing & Management,10.1016/0306-4573(79)90006-0
Germany,High Income,Seeking,Gemini-Flash-Lite,Germany_Seeking_4,"Case, D. O.","Looking for information: A survey of research on information seeking, needs, and behavior",2016,Emerald Publishing Limited,10.1108/S0276-3977(2016)0000032003
Germany,High Income,Seeking,Gemini-Flash-Lite,Germany_Seeking_5,"Chatman, E. A.",The information world of retired women,1996,The Library Quarterly,10.1086/602808
Germany,High Income,Seeking,Gemini-Flash-Lite,Germany_Seeking_6,"Dervin, B.",From the micro to the macro: Information-seeking as sense-making,1999,Information Processing & Management,10.1016/S0306-4573(98)00053-3
Germany,High Income,Seeking,Gemini-Flash-Lite,Germany_Seeking_7,"Taylor, R. S.",Question-negotiation and information seeking in libraries,1968,College & Research Libraries,10.5860/crl.29.3.178
Germany,High Income,Seeking,Gemini-Flash-Lite,Germany_Seeking_8,"Marchionini, G.",Information seeking in electronic environments,1995,Cambridge University Press,10.1017/CBO9780511556187
Germany,High Income,Seeking,Gemini-Flash-Lite,Germany_Seeking_9,"Ingwersen, P.",Information retrieval interaction,1992,Taylor & Francis,10.4324/9780203209568
Germany,High Income,Seeking,Gemini-Flash-Lite,Germany_Seeking_10,"Vakkari, P.",Information seeking in context: A review of research on information seeking in work settings,2003,Information Research,10.4324/9780203209568
Germany,High Income,Seeking,Gemini-Flash-Lite,Germany_Seeking_11,"Heinström, J.",Five personality traits and their influence on information behaviour,2003,Information Research,10.4324/9780203209568
Germany,High Income,Seeking,Gemini-Flash-Lite,Germany_Seeking_12,"Fisher, K. E. & Erdelez, S.",Information encountering,2004,Annual Review of Information Science and Technology,10.1002/aris.1440380106
Germany,High Income,Seeking,Gemini-Flash-Lite,Germany_Seeking_13,"Sonnenwald, D. H.",Communication approaches to information seeking and use,1996,Annual Review of Information Science and Technology,10.1002/aris.1440310105
Germany,High Income,Seeking,Gemini-Flash-Lite,Germany_Seeking_14,"Wildemuth, B. M.",Information seeking behavior and technology,2009,Academic Press,10.1016/B978-0-12-374855-7.00001-3
Germany,High Income,Use,Gemini-Flash-Lite,Germany_Use_1,"Hasebrink, U. & Thomas, T.",Media use and media effects in Germany: A longitudinal study,2010,Communications,10.1515/COMM.2010.001
